concept,fiscal_year,period_end,value,unit
AssetDisposalIncome,1996,1996-12-31,0.0,CNY
AssetDisposalIncome,1997,1997-12-31,0.0,CNY
AssetDisposalIncome,1998,1998-12-31,0.0,CNY
AssetDisposalIncome,1999,1999-12-31,0.0,CNY
AssetDisposalIncome,2000,2000-12-31,0.0,CNY
AssetDisposalIncome,2001,2001-12-31,0.0,CNY
AssetDisposalIncome,2002,2002-12-31,0.0,CNY
AssetDisposalIncome,2003,2003-12-31,0.0,CNY
AssetDisposalIncome,2004,2004-12-31,0.0,CNY
AssetDisposalIncome,2005,2005-12-31,0.0,CNY
AssetDisposalIncome,2006,2006-12-31,0.0,CNY
AssetDisposalIncome,2007,2007-12-31,0.0,CNY
AssetDisposalIncome,2008,2008-12-31,0.0,CNY
AssetDisposalIncome,2009,2009-12-31,0.0,CNY
AssetDisposalIncome,2010,2010-12-31,0.0,CNY
AssetDisposalIncome,2011,2011-12-31,0.0,CNY
AssetDisposalIncome,2012,2012-12-31,0.0,CNY
AssetDisposalIncome,2013,2013-12-31,0.0,CNY
AssetDisposalIncome,2014,2014-12-31,0.0,CNY
AssetDisposalIncome,2015,2015-12-31,0.0,CNY
AssetDisposalIncome,2016,2016-12-31,-133100.0,CNY
AssetDisposalIncome,2017,2017-12-31,-214500.0,CNY
AssetDisposalIncome,2018,2018-12-31,805500.0,CNY
AssetDisposalIncome,2019,2019-12-31,184200.00000000003,CNY
AssetDisposalIncome,2020,2020-12-31,-183100.0,CNY
AssetDisposalIncome,2021,2021-12-31,-4204200.0,CNY
AssetDisposalIncome,2022,2022-12-31,883100.0,CNY
AssetDisposalIncome,2023,2023-12-31,383300.0,CNY
AssetDisposalIncome,2024,2024-12-31,-28100.0,CNY
AssetDisposalIncome,2025,2025-12-31,111600.0,CNY
AssetImpairmentLoss,1996,1996-12-31,0.0,CNY
AssetImpairmentLoss,1997,1997-12-31,0.0,CNY
AssetImpairmentLoss,1998,1998-12-31,0.0,CNY
AssetImpairmentLoss,1999,1999-12-31,0.0,CNY
AssetImpairmentLoss,2000,2000-12-31,0.0,CNY
