concept,period_end,value,unit
NetCashProvidedByUsedInOperatingActivities,2024-06-30,-50135863.23,CNY
NetCashProvidedByUsedInOperatingActivities,2024-09-30,-46030115.76,CNY
NetCashProvidedByUsedInOperatingActivities,2024-12-31,-24423850.41,CNY
NetCashProvidedByUsedInOperatingActivities,2025-03-31,19968691.52,CNY
NetCashProvidedByUsedInOperatingActivities,2025-06-30,-444417.1,CNY
NetCashProvidedByUsedInOperatingActivities,2025-09-30,52533716.22,CNY
NetCashProvidedByUsedInOperatingActivities,2025-12-31,80931098.13,CNY
NetCashProvidedByUsedInOperatingActivities,2026-03-31,-18296727.14,CNY
NetIncomeLoss,2024-06-30,-50026904.29,CNY
NetIncomeLoss,2024-09-30,-62997994.15,CNY
NetIncomeLoss,2024-12-31,-129112099.08,CNY
NetIncomeLoss,2025-03-31,-25620342.96,CNY
NetIncomeLoss,2025-06-30,-53484749.53,CNY
NetIncomeLoss,2025-09-30,-59401302.35,CNY
NetIncomeLoss,2025-12-31,-132891536.47,CNY
NetIncomeLoss,2026-03-31,-21593306.33,CNY
NetIncomeLossExclNonRecurring,2024-06-30,-51238387.84,CNY
NetIncomeLossExclNonRecurring,2024-09-30,-64607207.44,CNY
NetIncomeLossExclNonRecurring,2024-12-31,-130990608.56,CNY
NetIncomeLossExclNonRecurring,2025-03-31,-25534219.14,CNY
NetIncomeLossExclNonRecurring,2025-06-30,-53275319.97,CNY
NetIncomeLossExclNonRecurring,2025-09-30,-73574504.57,CNY
NetIncomeLossExclNonRecurring,2025-12-31,-150450290.55,CNY
NetIncomeLossExclNonRecurring,2026-03-31,-23201609.78,CNY
Revenues,2024-06-30,425193647.78,CNY
Revenues,2024-09-30,647313540.17,CNY
Revenues,2024-12-31,862650406.46,CNY
Revenues,2025-03-31,173345831.52,CNY
Revenues,2025-06-30,357678313.89,CNY
Revenues,2025-09-30,547135134.63,CNY
Revenues,2025-12-31,758456843.57,CNY
Revenues,2026-03-31,186292058.66,CNY
