concept,fiscal_year,period_end,value,unit
Assets,2025,2025-12-31,78713207000,USD
AssetsCurrent,2025,2025-12-31,77801467000,USD
CashAndCashEquivalentsAtCarryingValue,2025,2025-12-31,1526046000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2025,2025-12-31,77419733000,USD
DepreciationDepletionAndAmortization,2025,2025-12-31,76627000,USD
Goodwill,2025,2025-12-31,265742000,USD
IncomeTaxExpenseBenefit,2025,2025-12-31,-33375000,USD
InterestExpenseNonoperating,2025,2025-12-31,1226000,USD
Liabilities,2025,2025-12-31,75382434000,USD
LiabilitiesCurrent,2025,2025-12-31,75328395000,USD
NetCashProvidedByUsedInOperatingActivities,2025,2025-12-31,542129000,USD
NetIncomeLoss,2025,2025-12-31,-69508000,USD
OperatingIncomeLoss,2025,2025-12-31,-96435000,USD
PaymentsForRepurchaseOfCommonStock,2025,2025-12-31,0,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2025,2025-12-31,7734000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2025,2025-12-31,12432000,USD
ProfitLoss,2025,2025-12-31,-69518000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-12-31,109820000,USD
Revenues,2025,2025-12-31,2746642000,USD
ShareBasedCompensation,2025,2025-12-31,566177000,USD
StockholdersEquity,2025,2025-12-31,3329327000,USD
