concept,fiscal_year,period_end,value,unit
Assets,2010,2011-01-30,4495246000,USD
Assets,2011,2012-01-29,5552928000,USD
Assets,2012,2013-01-27,6412245000,USD
Assets,2013,2014-01-26,7250894000,USD
Assets,2015,2015-01-25,7201368000,USD
Assets,2016,2016-01-31,7370000000,USD
Assets,2017,2017-01-29,9841000000,USD
Assets,2018,2018-01-28,11241000000,USD
Assets,2019,2019-01-27,13292000000,USD
Assets,2020,2020-01-26,17315000000,USD
Assets,2021,2021-01-31,28791000000,USD
Assets,2022,2022-01-30,44187000000,USD
Assets,2023,2023-01-29,41182000000,USD
Assets,2024,2024-01-28,65728000000,USD
Assets,2025,2025-01-26,111601000000,USD
Assets,2026,2026-01-25,206803000000,USD
AssetsCurrent,2010,2011-01-30,3226950000,USD
AssetsCurrent,2011,2012-01-29,3905358000,USD
AssetsCurrent,2012,2013-01-27,4775258000,USD
AssetsCurrent,2013,2014-01-26,5624711000,USD
AssetsCurrent,2015,2015-01-25,5713297000,USD
AssetsCurrent,2016,2016-01-31,6053000000,USD
AssetsCurrent,2017,2017-01-29,8536000000,USD
AssetsCurrent,2018,2018-01-28,9255000000,USD
AssetsCurrent,2019,2019-01-27,10557000000,USD
AssetsCurrent,2020,2020-01-26,13690000000,USD
AssetsCurrent,2021,2021-01-31,16055000000,USD
AssetsCurrent,2022,2022-01-30,28829000000,USD
AssetsCurrent,2023,2023-01-29,23073000000,USD
AssetsCurrent,2024,2024-01-28,44345000000,USD
AssetsCurrent,2025,2025-01-26,80126000000,USD
AssetsCurrent,2026,2026-01-25,125605000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,2011-01-30,665361000,USD
CashAndCashEquivalentsAtCarryingValue,2011,2012-01-29,667876000,USD
CashAndCashEquivalentsAtCarryingValue,2012,2013-01-27,732786000,USD
CashAndCashEquivalentsAtCarryingValue,2013,2014-01-26,1151587000,USD
CashAndCashEquivalentsAtCarryingValue,2015,2015-01-25,496654000,USD
CashAndCashEquivalentsAtCarryingValue,2016,2016-01-31,596000000,USD
CashAndCashEquivalentsAtCarryingValue,2017,2017-01-29,1766000000,USD
CashAndCashEquivalentsAtCarryingValue,2018,2018-01-28,4002000000,USD
CashAndCashEquivalentsAtCarryingValue,2019,2019-01-27,782000000,USD
CashAndCashEquivalentsAtCarryingValue,2020,2020-01-26,10896000000,USD
CashAndCashEquivalentsAtCarryingValue,2021,2021-01-31,847000000,USD
CashAndCashEquivalentsAtCarryingValue,2022,2022-01-30,1990000000,USD
CashAndCashEquivalentsAtCarryingValue,2023,2023-01-29,3389000000,USD
CashAndCashEquivalentsAtCarryingValue,2024,2024-01-28,7280000000,USD
CashAndCashEquivalentsAtCarryingValue,2025,2025-01-26,8589000000,USD
CashAndCashEquivalentsAtCarryingValue,2026,2026-01-25,10605000000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2020,2020-01-26,10896000000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2021,2021-01-31,847000000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2022,2022-01-30,1990000000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2023,2023-01-29,3389000000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2024,2024-01-28,7280000000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2025,2025-01-26,8589000000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2026,2026-01-25,10605000000,USD
CostOfGoodsAndServicesSold,2019,2019-01-27,4545000000,USD
CostOfGoodsAndServicesSold,2020,2020-01-26,4150000000,USD
CostOfGoodsAndServicesSold,2021,2021-01-31,6279000000,USD
CostOfRevenue,2010,2011-01-30,2134219000,USD
CostOfRevenue,2011,2012-01-29,1941413000,USD
CostOfRevenue,2012,2013-01-27,2053816000,USD
CostOfRevenue,2013,2014-01-26,1862399000,USD
CostOfRevenue,2015,2015-01-25,2082030000,USD
CostOfRevenue,2016,2016-01-31,2199000000,USD
CostOfRevenue,2017,2017-01-29,2847000000,USD
CostOfRevenue,2018,2018-01-28,3892000000,USD
CostOfRevenue,2022,2022-01-30,9439000000,USD
CostOfRevenue,2023,2023-01-29,11618000000,USD
CostOfRevenue,2024,2024-01-28,16621000000,USD
CostOfRevenue,2025,2025-01-26,32639000000,USD
CostOfRevenue,2026,2026-01-25,62475000000,USD
DebtCurrent,2021,2021-01-31,999000000,USD
DebtCurrent,2022,2022-01-30,0,USD
DebtCurrent,2023,2023-01-29,1250000000,USD
DebtCurrent,2024,2024-01-28,1250000000,USD
DebtCurrent,2025,2025-01-26,0,USD
DebtCurrent,2026,2026-01-25,999000000,USD
DepreciationDepletionAndAmortization,2022,2022-01-30,1174000000,USD
DepreciationDepletionAndAmortization,2023,2023-01-29,1544000000,USD
DepreciationDepletionAndAmortization,2024,2024-01-28,1508000000,USD
DepreciationDepletionAndAmortization,2025,2025-01-26,1864000000,USD
DepreciationDepletionAndAmortization,2026,2026-01-25,2843000000,USD
Goodwill,2010,2011-01-30,369844000,USD
Goodwill,2011,2012-01-29,641030000,USD
Goodwill,2012,2013-01-27,641030000,USD
Goodwill,2013,2014-01-26,643179000,USD
Goodwill,2015,2015-01-25,618179000,USD
Goodwill,2016,2016-01-31,618000000,USD
Goodwill,2017,2017-01-29,618000000,USD
Goodwill,2018,2018-01-28,618000000,USD
Goodwill,2019,2019-01-27,618000000,USD
Goodwill,2020,2020-01-26,618000000,USD
Goodwill,2021,2021-01-31,4193000000,USD
Goodwill,2022,2022-01-30,4349000000,USD
Goodwill,2023,2023-01-29,4372000000,USD
Goodwill,2024,2024-01-28,4430000000,USD
Goodwill,2025,2025-01-26,5188000000,USD
Goodwill,2026,2026-01-25,20832000000,USD
GrossProfit,2010,2011-01-30,1409090000,USD
GrossProfit,2011,2012-01-29,2056517000,USD
GrossProfit,2012,2013-01-27,2226343000,USD
GrossProfit,2013,2014-01-26,2267763000,USD
GrossProfit,2015,2015-01-25,2599477000,USD
GrossProfit,2016,2016-01-31,2811000000,USD
GrossProfit,2017,2017-01-29,4063000000,USD
GrossProfit,2018,2018-01-28,5822000000,USD
GrossProfit,2019,2019-01-27,7171000000,USD
GrossProfit,2020,2020-01-26,6768000000,USD
GrossProfit,2021,2021-01-31,10396000000,USD
GrossProfit,2022,2022-01-30,17475000000,USD
GrossProfit,2023,2023-01-29,15356000000,USD
GrossProfit,2024,2024-01-28,44301000000,USD
GrossProfit,2025,2025-01-26,97858000000,USD
GrossProfit,2026,2026-01-25,153463000000,USD
IncomeTaxExpenseBenefit,2010,2011-01-30,18023000,USD
IncomeTaxExpenseBenefit,2011,2012-01-29,82306000,USD
IncomeTaxExpenseBenefit,2012,2013-01-27,99503000,USD
IncomeTaxExpenseBenefit,2013,2014-01-26,70264000,USD
IncomeTaxExpenseBenefit,2015,2015-01-25,124249000,USD
IncomeTaxExpenseBenefit,2016,2016-01-31,129000000,USD
IncomeTaxExpenseBenefit,2017,2017-01-29,239000000,USD
IncomeTaxExpenseBenefit,2018,2018-01-28,149000000,USD
IncomeTaxExpenseBenefit,2019,2019-01-27,-245000000,USD
IncomeTaxExpenseBenefit,2020,2020-01-26,174000000,USD
IncomeTaxExpenseBenefit,2021,2021-01-31,77000000,USD
IncomeTaxExpenseBenefit,2022,2022-01-30,189000000,USD
IncomeTaxExpenseBenefit,2023,2023-01-29,-187000000,USD
IncomeTaxExpenseBenefit,2024,2024-01-28,4058000000,USD
IncomeTaxExpenseBenefit,2025,2025-01-26,11146000000,USD
IncomeTaxExpenseBenefit,2026,2026-01-25,21383000000,USD
InterestExpense,2010,2011-01-30,3127000,USD
InterestExpense,2011,2012-01-29,3089000,USD
InterestExpense,2012,2013-01-27,3294000,USD
InterestExpense,2013,2014-01-26,10443000,USD
InterestExpense,2015,2015-01-25,46133000,USD
InterestExpense,2016,2016-01-31,47000000,USD
InterestExpense,2017,2017-01-29,58000000,USD
InterestExpense,2018,2018-01-28,61000000,USD
InterestExpense,2019,2019-01-27,58000000,USD
InterestExpense,2020,2020-01-26,52000000,USD
InterestExpense,2021,2021-01-31,184000000,USD
InterestExpense,2022,2022-01-30,236000000,USD
InterestExpense,2023,2023-01-29,262000000,USD
InterestExpense,2024,2024-01-28,257000000,USD
InterestExpenseNonoperating,2025,2025-01-26,247000000,USD
InterestExpenseNonoperating,2026,2026-01-25,259000000,USD
Liabilities,2016,2016-01-31,2814000000,USD
Liabilities,2017,2017-01-29,4048000000,USD
Liabilities,2018,2018-01-28,3770000000,USD
Liabilities,2019,2019-01-27,3950000000,USD
