concept,fiscal_year,period_end,value,unit
Assets,2020,2020-12-31,255028278,USD
Assets,2021,2021-12-31,295601000,USD
Assets,2022,2022-12-31,425262000,USD
Assets,2023,2023-12-31,485546000,USD
Assets,2024,2024-12-31,389978000,USD
Assets,2025,2025-12-31,500469000,USD
AssetsCurrent,2020,2020-12-31,2010037,USD
AssetsCurrent,2021,2021-12-31,291370000,USD
AssetsCurrent,2022,2022-12-31,142148000,USD
AssetsCurrent,2023,2023-12-31,208482000,USD
AssetsCurrent,2024,2024-12-31,120266000,USD
AssetsCurrent,2025,2025-12-31,259905000,USD
CashAndCashEquivalentsAtCarryingValue,2020,2020-12-31,1896170,USD
CashAndCashEquivalentsAtCarryingValue,2021,2021-12-31,268252000,USD
CashAndCashEquivalentsAtCarryingValue,2022,2022-12-31,110337000,USD
CashAndCashEquivalentsAtCarryingValue,2023,2023-12-31,152839000,USD
CashAndCashEquivalentsAtCarryingValue,2024,2024-12-31,86737000,USD
CashAndCashEquivalentsAtCarryingValue,2025,2025-12-31,236857000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2021,2021-12-31,268252000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2022,2022-12-31,110337000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2023,2023-12-31,152839000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2024,2024-12-31,88240000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2025,2025-12-31,238602000,USD
CostOfGoodsAndServicesSold,2021,2021-12-31,13050000,USD
CostOfGoodsAndServicesSold,2022,2022-12-31,25996000,USD
CostOfGoodsAndServicesSold,2023,2023-12-31,48392000,USD
CostOfGoodsAndServicesSold,2024,2024-12-31,54963000,USD
CostOfGoodsAndServicesSold,2025,2025-12-31,31668000,USD
Goodwill,2022,2022-12-31,161527000,USD
Goodwill,2023,2023-12-31,163215000,USD
Goodwill,2024,2024-12-31,163215000,USD
Goodwill,2025,2025-12-31,163215000,USD
GrossProfit,2021,2021-12-31,10686000,USD
IncomeTaxExpenseBenefit,2021,2021-12-31,47000,USD
IncomeTaxExpenseBenefit,2022,2022-12-31,-22812000,USD
IncomeTaxExpenseBenefit,2023,2023-12-31,-517000,USD
IncomeTaxExpenseBenefit,2024,2024-12-31,-342000,USD
IncomeTaxExpenseBenefit,2025,2025-12-31,50000,USD
Liabilities,2020,2020-12-31,8185952,USD
Liabilities,2021,2021-12-31,230065000,USD
Liabilities,2022,2022-12-31,40502000,USD
Liabilities,2023,2023-12-31,104929000,USD
Liabilities,2024,2024-12-31,41965000,USD
Liabilities,2025,2025-12-31,56808000,USD
LiabilitiesCurrent,2020,2020-12-31,118452,USD
LiabilitiesCurrent,2021,2021-12-31,10728000,USD
LiabilitiesCurrent,2022,2022-12-31,20351000,USD
LiabilitiesCurrent,2023,2023-12-31,50384000,USD
LiabilitiesCurrent,2024,2024-12-31,21144000,USD
LiabilitiesCurrent,2025,2025-12-31,52120000,USD
LongTermDebtCurrent,2021,2021-12-31,3200000,USD
LongTermDebtCurrent,2022,2022-12-31,0,USD
LongTermDebtNoncurrent,2021,2021-12-31,3716000,USD
LongTermDebtNoncurrent,2022,2022-12-31,0,USD
NetCashProvidedByUsedInOperatingActivities,2020,2020-12-31,-159974,USD
NetCashProvidedByUsedInOperatingActivities,2021,2021-12-31,-41700000,USD
NetCashProvidedByUsedInOperatingActivities,2022,2022-12-31,-44497000,USD
NetCashProvidedByUsedInOperatingActivities,2023,2023-12-31,-40098000,USD
NetCashProvidedByUsedInOperatingActivities,2024,2024-12-31,-58823000,USD
NetCashProvidedByUsedInOperatingActivities,2025,2025-12-31,-42891000,USD
NetIncomeLoss,2020,2020-12-31,-118337,USD
NetIncomeLoss,2021,2021-12-31,-152685000,USD
NetIncomeLoss,2022,2022-12-31,73913000,USD
NetIncomeLoss,2023,2023-12-31,-145433000,USD
NetIncomeLoss,2024,2024-12-31,-84599000,USD
OperatingIncomeLoss,2020,2020-12-31,-137268,USD
OperatingIncomeLoss,2021,2021-12-31,-68508000,USD
OperatingIncomeLoss,2022,2022-12-31,-123637000,USD
OperatingIncomeLoss,2023,2023-12-31,-118132000,USD
OperatingIncomeLoss,2024,2024-12-31,-130675000,USD
OperatingIncomeLoss,2025,2025-12-31,-107764000,USD
PaymentsForRepurchaseOfCommonStock,2022,2022-12-31,550000,USD
PaymentsForRepurchaseOfCommonStock,2023,2023-12-31,0,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2022,2022-12-31,96357000,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2023,2023-12-31,0,USD
PaymentsToAcquirePropertyPlantAndEquipment,2021,2021-12-31,2068000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2022,2022-12-31,4644000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2023,2023-12-31,4782000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2024,2024-12-31,6771000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2025,2025-12-31,1478000,USD
ProceedsFromIssuanceOfLongTermDebt,2021,2021-12-31,2000000,USD
ProceedsFromIssuanceOfLongTermDebt,2022,2022-12-31,0,USD
ProfitLoss,2022,2022-12-31,72887000,USD
ProfitLoss,2023,2023-12-31,-145951000,USD
ProfitLoss,2024,2024-12-31,-84599000,USD
ProfitLoss,2025,2025-12-31,-116953000,USD
RepaymentsOfLongTermDebt,2021,2021-12-31,1067000,USD
RepaymentsOfLongTermDebt,2022,2022-12-31,6933000,USD
RepaymentsOfLongTermDebt,2023,2023-12-31,0,USD
ResearchAndDevelopmentExpense,2021,2021-12-31,27820000,USD
ResearchAndDevelopmentExpense,2022,2022-12-31,50318000,USD
ResearchAndDevelopmentExpense,2023,2023-12-31,68825000,USD
ResearchAndDevelopmentExpense,2024,2024-12-31,76002000,USD
ResearchAndDevelopmentExpense,2025,2025-12-31,49830000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2021,2021-12-31,23736000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2022,2022-12-31,37943000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2023,2023-12-31,79456000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2024,2024-12-31,83302000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-12-31,45916000,USD
ShareBasedCompensation,2021,2021-12-31,41404000,USD
ShareBasedCompensation,2022,2022-12-31,63288000,USD
ShareBasedCompensation,2023,2023-12-31,54028000,USD
ShareBasedCompensation,2024,2024-12-31,43031000,USD
ShareBasedCompensation,2025,2025-12-31,14484000,USD
StockholdersEquity,2020,2020-12-31,5000006,USD
StockholdersEquity,2021,2021-12-31,65536000,USD
StockholdersEquity,2022,2022-12-31,381132000,USD
StockholdersEquity,2023,2023-12-31,380617000,USD
