concept,fiscal_year,period_end,value,unit
Assets,2020,2020-12-31,321327396,USD
Assets,2021,2021-12-31,980847000,USD
Assets,2022,2022-12-31,989123000,USD
Assets,2023,2023-12-31,941211000,USD
Assets,2024,2024-12-31,1184342000,USD
Assets,2025,2025-12-31,2324478000,USD
AssetsCurrent,2020,2020-12-31,1232550,USD
AssetsCurrent,2021,2021-12-31,774764000,USD
AssetsCurrent,2022,2022-12-31,662294000,USD
AssetsCurrent,2023,2023-12-31,476722000,USD
AssetsCurrent,2024,2024-12-31,692621000,USD
AssetsCurrent,2025,2025-12-31,1365544000,USD
CashAndCashEquivalentsAtCarryingValue,2020,2020-12-31,865903,USD
CashAndCashEquivalentsAtCarryingValue,2021,2021-12-31,690959000,USD
CashAndCashEquivalentsAtCarryingValue,2022,2022-12-31,242515000,USD
CashAndCashEquivalentsAtCarryingValue,2023,2023-12-31,162518000,USD
CashAndCashEquivalentsAtCarryingValue,2024,2024-12-31,271042000,USD
CashAndCashEquivalentsAtCarryingValue,2025,2025-12-31,828660000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2021,2021-12-31,692075000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2022,2022-12-31,245871000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2023,2023-12-31,166434000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2024,2024-12-31,275302000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2025,2025-12-31,833545000,USD
CostOfRevenue,2021,2021-12-31,64130000,USD
CostOfRevenue,2022,2022-12-31,192006000,USD
CostOfRevenue,2023,2023-12-31,193183000,USD
CostOfRevenue,2024,2024-12-31,320065000,USD
CostOfRevenue,2025,2025-12-31,394618000,USD
Goodwill,2021,2021-12-31,43308000,USD
Goodwill,2022,2022-12-31,71020000,USD
Goodwill,2023,2023-12-31,71020000,USD
Goodwill,2024,2024-12-31,71020000,USD
Goodwill,2025,2025-12-31,205750000,USD
GrossProfit,2021,2021-12-31,-1893000,USD
GrossProfit,2022,2022-12-31,18990000,USD
GrossProfit,2023,2023-12-31,51409000,USD
GrossProfit,2024,2024-12-31,116149000,USD
GrossProfit,2025,2025-12-31,207181000,USD
IncomeTaxExpenseBenefit,2021,2021-12-31,-7520000,USD
IncomeTaxExpenseBenefit,2022,2022-12-31,2998000,USD
IncomeTaxExpenseBenefit,2023,2023-12-31,3650000,USD
IncomeTaxExpenseBenefit,2024,2024-12-31,764000,USD
IncomeTaxExpenseBenefit,2025,2025-12-31,-27688000,USD
InterestExpenseNonoperating,2025,2025-12-31,26489000,USD
Liabilities,2020,2020-12-31,11417395,USD
Liabilities,2021,2021-12-31,282399000,USD
Liabilities,2022,2022-12-31,315917000,USD
Liabilities,2023,2023-12-31,386667000,USD
Liabilities,2024,2024-12-31,801889000,USD
Liabilities,2025,2025-12-31,602624000,USD
LiabilitiesCurrent,2021,2021-12-31,96307000,USD
LiabilitiesCurrent,2022,2022-12-31,162940000,USD
LiabilitiesCurrent,2023,2023-12-31,223373000,USD
LiabilitiesCurrent,2024,2024-12-31,339525000,USD
LiabilitiesCurrent,2025,2025-12-31,334476000,USD
LongTermDebt,2023,2023-12-31,110000000,USD
LongTermDebt,2024,2024-12-31,345392000,USD
LongTermDebt,2025,2025-12-31,152395000,USD
LongTermDebtCurrent,2021,2021-12-31,2827000,USD
LongTermDebtCurrent,2022,2022-12-31,2906000,USD
LongTermDebtCurrent,2023,2023-12-31,17764000,USD
LongTermDebtCurrent,2024,2024-12-31,12045000,USD
LongTermDebtCurrent,2025,2025-12-31,0,USD
LongTermDebtNoncurrent,2021,2021-12-31,97297000,USD
LongTermDebtNoncurrent,2022,2022-12-31,100043000,USD
LongTermDebtNoncurrent,2023,2023-12-31,87587000,USD
LongTermDebtNoncurrent,2024,2024-12-31,44049000,USD
LongTermDebtNoncurrent,2025,2025-12-31,1716000,USD
NetCashProvidedByUsedInOperatingActivities,2020,2020-12-31,-506715,USD
NetCashProvidedByUsedInOperatingActivities,2021,2021-12-31,-71791000,USD
NetCashProvidedByUsedInOperatingActivities,2022,2022-12-31,-106538000,USD
NetCashProvidedByUsedInOperatingActivities,2023,2023-12-31,-98867000,USD
NetCashProvidedByUsedInOperatingActivities,2024,2024-12-31,-48890000,USD
NetCashProvidedByUsedInOperatingActivities,2025,2025-12-31,-165521000,USD
NetIncomeLoss,2020,2020-12-31,-352617,USD
NetIncomeLoss,2021,2021-12-31,-117320000,USD
NetIncomeLoss,2022,2022-12-31,-135944000,USD
NetIncomeLoss,2023,2023-12-31,-182571000,USD
NetIncomeLoss,2024,2024-12-31,-190175000,USD
NetIncomeLoss,2025,2025-12-31,-198209000,USD
OperatingIncomeLoss,2020,2020-12-31,-357463,USD
OperatingIncomeLoss,2021,2021-12-31,-102053000,USD
OperatingIncomeLoss,2022,2022-12-31,-135204000,USD
OperatingIncomeLoss,2023,2023-12-31,-177918000,USD
OperatingIncomeLoss,2024,2024-12-31,-189801000,USD
OperatingIncomeLoss,2025,2025-12-31,-228838000,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2021,2021-12-31,66435000,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2022,2022-12-31,65824000,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2023,2023-12-31,18966000,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2024,2024-12-31,0,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2025,2025-12-31,132441000,USD
