concept,fiscal_year,period_end,value,unit
Assets,2019,2019-12-31,123391000,USD
Assets,2020,2020-12-31,136011000,USD
Assets,2021,2021-12-31,678209000,USD
Assets,2022,2022-12-31,750616000,USD
Assets,2023,2023-12-31,951683000,USD
Assets,2024,2024-12-31,884959000,USD
Assets,2025,2025-12-31,1294699000,USD
AssetsCurrent,2019,2019-12-31,99662000,USD
AssetsCurrent,2020,2020-12-31,113180000,USD
AssetsCurrent,2021,2021-12-31,625943000,USD
AssetsCurrent,2022,2022-12-31,669067000,USD
AssetsCurrent,2023,2023-12-31,623242000,USD
AssetsCurrent,2024,2024-12-31,544060000,USD
AssetsCurrent,2025,2025-12-31,949279000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2023,2023-12-31,9468000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2024,2024-12-31,6106000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2025,2025-12-31,16759000,USD
CostOfRevenue,2019,2019-12-31,44516000,USD
CostOfRevenue,2020,2020-12-31,58224000,USD
CostOfRevenue,2021,2021-12-31,79346000,USD
CostOfRevenue,2022,2022-12-31,100643000,USD
CostOfRevenue,2023,2023-12-31,61905000,USD
CostOfRevenue,2024,2024-12-31,98203000,USD
CostOfRevenue,2025,2025-12-31,151674000,USD
DepreciationDepletionAndAmortization,2019,2019-12-31,8273000,USD
DepreciationDepletionAndAmortization,2020,2020-12-31,6402000,USD
DepreciationDepletionAndAmortization,2021,2021-12-31,7926000,USD
DepreciationDepletionAndAmortization,2022,2022-12-31,11843000,USD
DepreciationDepletionAndAmortization,2023,2023-12-31,16128000,USD
DepreciationDepletionAndAmortization,2024,2024-12-31,30072000,USD
DepreciationDepletionAndAmortization,2025,2025-12-31,40189000,USD
Goodwill,2023,2023-12-31,87098000,USD
Goodwill,2024,2024-12-31,87098000,USD
Goodwill,2025,2025-12-31,87098000,USD
GrossProfit,2019,2019-12-31,39558000,USD
GrossProfit,2020,2020-12-31,57932000,USD
GrossProfit,2021,2021-12-31,139462000,USD
GrossProfit,2022,2022-12-31,182962000,USD
GrossProfit,2023,2023-12-31,82088000,USD
GrossProfit,2024,2024-12-31,104494000,USD
GrossProfit,2025,2025-12-31,174986000,USD
IncomeTaxExpenseBenefit,2019,2019-12-31,-8000,USD
IncomeTaxExpenseBenefit,2020,2020-12-31,1000,USD
IncomeTaxExpenseBenefit,2021,2021-12-31,78000,USD
IncomeTaxExpenseBenefit,2022,2022-12-31,82000,USD
IncomeTaxExpenseBenefit,2023,2023-12-31,152000,USD
IncomeTaxExpenseBenefit,2024,2024-12-31,486000,USD
IncomeTaxExpenseBenefit,2025,2025-12-31,598000,USD
InterestExpense,2019,2019-12-31,1714000,USD
InterestExpense,2020,2020-12-31,726000,USD
InterestExpense,2021,2020-12-31,726000,USD
Liabilities,2019,2019-12-31,61251000,USD
Liabilities,2020,2020-12-31,26131000,USD
Liabilities,2021,2021-12-31,45712000,USD
Liabilities,2022,2022-12-31,42136000,USD
Liabilities,2023,2023-12-31,243631000,USD
Liabilities,2024,2024-12-31,185240000,USD
Liabilities,2025,2025-12-31,138517000,USD
LiabilitiesCurrent,2019,2019-12-31,53311000,USD
LiabilitiesCurrent,2020,2020-12-31,19145000,USD
LiabilitiesCurrent,2021,2021-12-31,37385000,USD
LiabilitiesCurrent,2022,2022-12-31,33794000,USD
LiabilitiesCurrent,2023,2023-12-31,121394000,USD
LiabilitiesCurrent,2024,2024-12-31,108449000,USD
LiabilitiesCurrent,2025,2025-12-31,84005000,USD
LongTermDebtCurrent,2019,2019-12-31,41000000,USD
LongTermDebtCurrent,2020,2019-12-31,41000000,USD
NetCashProvidedByUsedInOperatingActivities,2019,2019-12-31,7378000,USD
NetCashProvidedByUsedInOperatingActivities,2020,2020-12-31,16604000,USD
NetCashProvidedByUsedInOperatingActivities,2021,2021-12-31,59078000,USD
NetCashProvidedByUsedInOperatingActivities,2022,2022-12-31,39752000,USD
NetCashProvidedByUsedInOperatingActivities,2023,2023-12-31,8056000,USD
NetCashProvidedByUsedInOperatingActivities,2024,2024-12-31,23190000,USD
NetCashProvidedByUsedInOperatingActivities,2025,2025-12-31,87154000,USD
NetIncomeLoss,2019,2019-12-31,-6607000,USD
NetIncomeLoss,2020,2020-12-31,-9372000,USD
NetIncomeLoss,2021,2021-12-31,32277000,USD
NetIncomeLoss,2022,2022-12-31,23254000,USD
NetIncomeLoss,2023,2023-12-31,-80535000,USD
NetIncomeLoss,2024,2024-12-31,-93601000,USD
NetIncomeLoss,2025,2025-12-31,-42903000,USD
OperatingIncomeLoss,2019,2019-12-31,-4873000,USD
OperatingIncomeLoss,2020,2020-12-31,-8613000,USD
OperatingIncomeLoss,2021,2021-12-31,32843000,USD
OperatingIncomeLoss,2022,2022-12-31,16142000,USD
OperatingIncomeLoss,2023,2023-12-31,-107200000,USD
OperatingIncomeLoss,2024,2024-12-31,-115240000,USD
OperatingIncomeLoss,2025,2025-12-31,-66978000,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2023,2023-12-31,39000000,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2024,2024-12-31,0,USD
PaymentsToAcquireBusinessesNetOfCashAcquired,2025,2025-12-31,0,USD
PaymentsToAcquirePropertyPlantAndEquipment,2019,2019-12-31,1426000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2020,2020-12-31,6098000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2021,2021-12-31,30878000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2022,2022-12-31,31793000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2023,2023-12-31,8945000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2024,2024-12-31,36217000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2025,2025-12-31,52028000,USD
ProfitLoss,2019,2019-12-31,-6607000,USD
ProfitLoss,2020,2020-12-31,-9372000,USD
ProfitLoss,2021,2021-12-31,32277000,USD
ProfitLoss,2022,2022-12-31,23254000,USD
ProfitLoss,2023,2023-12-31,-80535000,USD
ProfitLoss,2024,2024-12-31,-93601000,USD
ProfitLoss,2025,2025-12-31,-42903000,USD
ResearchAndDevelopmentExpense,2019,2019-12-31,23795000,USD
ResearchAndDevelopmentExpense,2020,2020-12-31,31652000,USD
ResearchAndDevelopmentExpense,2021,2021-12-31,52104000,USD
ResearchAndDevelopmentExpense,2022,2022-12-31,90288000,USD
ResearchAndDevelopmentExpense,2023,2023-12-31,97589000,USD
ResearchAndDevelopmentExpense,2024,2024-12-31,106855000,USD
ResearchAndDevelopmentExpense,2025,2025-12-31,118893000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2019,2019-12-31,84074000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2020,2020-12-31,116156000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2021,2021-12-31,218808000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2022,2022-12-31,283605000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2023,2023-12-31,143993000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2024,2024-12-31,202697000,USD
RevenueFromContractWithCustomerExcludingAssessedTax,2025,2025-12-31,326660000,USD
ShareBasedCompensation,2019,2019-12-31,1379000,USD
ShareBasedCompensation,2020,2020-12-31,16009000,USD
ShareBasedCompensation,2021,2021-12-31,29992000,USD
ShareBasedCompensation,2022,2022-12-31,57415000,USD
ShareBasedCompensation,2023,2023-12-31,76753000,USD
ShareBasedCompensation,2024,2024-12-31,92634000,USD
ShareBasedCompensation,2025,2025-12-31,103540000,USD
