concept,fiscal_year,period_end,value,unit
Revenues,2023,2023-12-31,10387000000,USD
Revenues,2024,2024-12-31,14015000000,USD
Revenues,2025,2025-12-31,18674000000,USD
CostOfRevenue,2023,2023-12-31,6110000000,USD
CostOfRevenue,2024,2024-12-31,7996000000,USD
CostOfRevenue,2025,2025-12-31,9451000000,USD
GrossProfit,2023,2023-12-31,4277000000,USD
GrossProfit,2024,2024-12-31,6019000000,USD
GrossProfit,2025,2025-12-31,9223000000,USD
ResearchAndDevelopmentExpense,2023,2023-12-31,2105000000,USD
ResearchAndDevelopmentExpense,2024,2024-12-31,3464000000,USD
ResearchAndDevelopmentExpense,2025,2025-12-31,8643000000,USD
SellingGeneralAndAdministrativeExpense,2023,2023-12-31,1665000000,USD
SellingGeneralAndAdministrativeExpense,2024,2024-12-31,1813000000,USD
SellingGeneralAndAdministrativeExpense,2025,2025-12-31,2644000000,USD
OperatingIncomeLoss,2023,2023-12-31,-3505000000,USD
OperatingIncomeLoss,2024,2024-12-31,466000000,USD
OperatingIncomeLoss,2025,2025-12-31,-2589000000,USD
InterestExpenseNonoperating,2023,2023-12-31,1693000000,USD
InterestExpenseNonoperating,2024,2024-12-31,1580000000,USD
InterestExpenseNonoperating,2025,2025-12-31,1945000000,USD
NetIncomeLoss,2023,2023-12-31,-4628000000,USD
NetIncomeLoss,2024,2024-12-31,791000000,USD
NetIncomeLoss,2025,2025-12-31,-4937000000,USD
IncomeTaxExpenseBenefit,2023,2023-12-31,-363000000,USD
IncomeTaxExpenseBenefit,2024,2024-12-31,-549000000,USD
IncomeTaxExpenseBenefit,2025,2025-12-31,718000000,USD
DepreciationDepletionAndAmortization,2023,2023-12-31,2635000000,USD
DepreciationDepletionAndAmortization,2024,2024-12-31,3824000000,USD
DepreciationDepletionAndAmortization,2025,2025-12-31,6701000000,USD
ShareBasedCompensation,2023,2023-12-31,679000000,USD
ShareBasedCompensation,2024,2024-12-31,784000000,USD
ShareBasedCompensation,2025,2025-12-31,1947000000,USD
NetCashProvidedByUsedInOperatingActivities,2023,2023-12-31,4520000000,USD
NetCashProvidedByUsedInOperatingActivities,2024,2024-12-31,5776000000,USD
NetCashProvidedByUsedInOperatingActivities,2025,2025-12-31,6785000000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2023,2023-12-31,4415000000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2024,2024-12-31,11163000000,USD
PaymentsToAcquirePropertyPlantAndEquipment,2025,2025-12-31,20737000000,USD
Assets,2024,2024-12-31,57062000000,USD
Assets,2025,2025-12-31,92079000000,USD
AssetsCurrent,2024,2024-12-31,16108000000,USD
AssetsCurrent,2025,2025-12-31,30952000000,USD
Liabilities,2024,2024-12-31,31258000000,USD
Liabilities,2025,2025-12-31,50754000000,USD
LiabilitiesCurrent,2024,2024-12-31,11791000000,USD
LiabilitiesCurrent,2025,2025-12-31,21400000000,USD
StockholdersEquity,2024,2024-12-31,4863000000,USD
StockholdersEquity,2025,2025-12-31,2573000000,USD
CashAndCashEquivalentsAtCarryingValue,2024,2024-12-31,11385000000,USD
CashAndCashEquivalentsAtCarryingValue,2025,2025-12-31,24747000000,USD
LongTermDebtNoncurrent,2024,2024-12-31,13421000000,USD
LongTermDebtNoncurrent,2025,2025-12-31,21968000000,USD
LongTermDebtCurrent,2024,2024-12-31,372000000,USD
LongTermDebtCurrent,2025,2025-12-31,928000000,USD
Goodwill,2024,2024-12-31,11129000000,USD
Goodwill,2025,2025-12-31,11809000000,USD
