concept,fiscal_year,period_end,value,unit
Assets,2010,2010-10-01,1564052000,USD
Assets,2011,2011-09-30,1890389000,USD
Assets,2012,2012-09-28,2136646000,USD
Assets,2013,2013-09-27,2333100000,USD
Assets,2014,2014-10-03,2973800000,USD
Assets,2015,2015-10-02,3719400000,USD
Assets,2016,2016-09-30,3855400000,USD
Assets,2017,2017-09-29,4573600000,USD
Assets,2018,2018-09-28,4828900000,USD
Assets,2019,2019-09-27,4839600000,USD
Assets,2020,2020-10-02,5106700000,USD
Assets,2021,2021-10-01,8590700000,USD
Assets,2022,2022-09-30,8873800000,USD
Assets,2023,2023-09-29,8426700000,USD
Assets,2024,2024-09-27,8283300000,USD
Assets,2025,2025-10-03,7917000000,USD
AssetsCurrent,2010,2010-10-01,789865000,USD
AssetsCurrent,2011,2011-09-30,816334000,USD
AssetsCurrent,2012,2012-09-28,883363000,USD
AssetsCurrent,2013,2013-09-27,1073300000,USD
AssetsCurrent,2014,2014-10-03,1429200000,USD
AssetsCurrent,2015,2015-10-02,1914700000,USD
AssetsCurrent,2016,2016-09-30,2002100000,USD
AssetsCurrent,2017,2017-09-29,2633700000,USD
AssetsCurrent,2018,2018-09-28,2262200000,USD
AssetsCurrent,2019,2019-09-27,2234600000,USD
AssetsCurrent,2020,2020-10-02,2317600000,USD
AssetsCurrent,2021,2021-10-01,2865400000,USD
AssetsCurrent,2022,2022-09-30,3229900000,USD
AssetsCurrent,2023,2023-09-29,3179500000,USD
AssetsCurrent,2024,2024-09-27,3341000000,USD
AssetsCurrent,2025,2025-10-03,3077000000,USD
CashAndCashEquivalentsAtCarryingValue,2010,2010-10-01,453257000,USD
CashAndCashEquivalentsAtCarryingValue,2011,2011-09-30,410087000,USD
CashAndCashEquivalentsAtCarryingValue,2012,2012-09-28,306293000,USD
CashAndCashEquivalentsAtCarryingValue,2013,2013-09-27,511100000,USD
CashAndCashEquivalentsAtCarryingValue,2014,2014-10-03,805800000,USD
CashAndCashEquivalentsAtCarryingValue,2015,2015-10-02,1043600000,USD
CashAndCashEquivalentsAtCarryingValue,2016,2016-09-30,1083800000,USD
CashAndCashEquivalentsAtCarryingValue,2017,2017-09-29,1616800000,USD
CashAndCashEquivalentsAtCarryingValue,2018,2018-09-28,733300000,USD
CashAndCashEquivalentsAtCarryingValue,2019,2019-09-27,851300000,USD
CashAndCashEquivalentsAtCarryingValue,2020,2020-10-02,566700000,USD
CashAndCashEquivalentsAtCarryingValue,2021,2021-10-01,882900000,USD
CashAndCashEquivalentsAtCarryingValue,2022,2022-09-30,566000000,USD
CashAndCashEquivalentsAtCarryingValue,2023,2023-09-29,718800000,USD
CashAndCashEquivalentsAtCarryingValue,2024,2024-09-27,1368600000,USD
CashAndCashEquivalentsAtCarryingValue,2025,2025-10-03,1161300000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2022,2022-09-30,566000000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2023,2023-09-29,718800000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2024,2024-09-27,1368600000,USD
CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2025,2025-10-03,1161300000,USD
CostOfGoodsAndServicesSold,2019,2019-09-27,1773000000,USD
CostOfGoodsAndServicesSold,2020,2020-10-02,1742800000,USD
CostOfGoodsAndServicesSold,2021,2021-10-01,2596700000,USD
CostOfGoodsAndServicesSold,2022,2022-09-30,2881200000,USD
CostOfGoodsAndServicesSold,2023,2023-09-29,2665100000,USD
CostOfGoodsAndServicesSold,2024,2024-09-27,2457200000,USD
CostOfGoodsAndServicesSold,2025,2025-10-03,2404800000,USD
CostOfGoodsSold,2010,2010-10-01,615016000,USD
CostOfGoodsSold,2011,2011-09-30,798618000,USD
CostOfGoodsSold,2012,2012-09-28,901484000,USD
CostOfGoodsSold,2013,2013-09-27,1025400000,USD
CostOfGoodsSold,2014,2014-10-03,1268800000,USD
CostOfGoodsSold,2015,2015-10-02,1703900000,USD
CostOfGoodsSold,2016,2016-09-30,1623800000,USD
CostOfGoodsSold,2017,2017-09-29,1809600000,USD
CostOfGoodsSold,2018,2018-09-28,1917300000,USD
DebtCurrent,2010,2010-10-01,50000000,USD
DebtCurrent,2011,2011-09-30,26089000,USD
DebtCurrent,2012,2012-09-28,0,USD
DebtCurrent,2022,2022-09-30,499200000,USD
DebtCurrent,2023,2023-09-29,299400000,USD
DebtCurrent,2024,2024-09-27,0,USD
DebtCurrent,2025,2025-10-03,499400000,USD
Goodwill,2010,2010-10-01,485587000,USD
Goodwill,2011,2011-09-30,663041000,USD
Goodwill,2012,2012-09-28,800513000,USD
Goodwill,2013,2013-09-27,800500000,USD
Goodwill,2014,2014-10-03,851000000,USD
Goodwill,2015,2015-10-02,856700000,USD
Goodwill,2016,2016-09-30,873300000,USD
Goodwill,2017,2017-09-29,883000000,USD
Goodwill,2018,2018-09-28,1189800000,USD
Goodwill,2019,2019-09-27,1189800000,USD
Goodwill,2020,2020-10-02,1189800000,USD
Goodwill,2021,2021-10-01,2176700000,USD
Goodwill,2022,2022-09-30,2176700000,USD
Goodwill,2023,2023-09-29,2176700000,USD
Goodwill,2024,2024-09-27,2176700000,USD
Goodwill,2025,2025-10-03,2176700000,USD
GrossProfit,2010,2010-10-01,456833000,USD
GrossProfit,2011,2011-09-30,620304000,USD
GrossProfit,2012,2012-09-28,667097000,USD
GrossProfit,2013,2013-09-27,766600000,USD
GrossProfit,2014,2014-10-03,1022700000,USD
GrossProfit,2015,2015-10-02,1554500000,USD
GrossProfit,2016,2016-09-30,1665200000,USD
GrossProfit,2017,2017-09-29,1841800000,USD
GrossProfit,2018,2018-09-28,1950700000,USD
GrossProfit,2019,2019-09-27,1603800000,USD
GrossProfit,2020,2020-10-02,1612900000,USD
GrossProfit,2021,2021-10-01,2512400000,USD
GrossProfit,2022,2022-09-30,2604300000,USD
GrossProfit,2023,2023-09-29,2107300000,USD
GrossProfit,2024,2024-09-27,1720800000,USD
GrossProfit,2025,2025-10-03,1682100000,USD
IncomeTaxExpenseBenefit,2010,2010-10-01,57780000,USD
IncomeTaxExpenseBenefit,2011,2011-09-30,67301000,USD
IncomeTaxExpenseBenefit,2012,2012-09-28,52898000,USD
IncomeTaxExpenseBenefit,2013,2013-09-27,66400000,USD
IncomeTaxExpenseBenefit,2014,2014-10-03,107500000,USD
IncomeTaxExpenseBenefit,2015,2015-10-02,225300000,USD
IncomeTaxExpenseBenefit,2016,2016-09-30,205400000,USD
IncomeTaxExpenseBenefit,2017,2017-09-29,246800000,USD
IncomeTaxExpenseBenefit,2018,2018-09-28,413700000,USD
IncomeTaxExpenseBenefit,2019,2019-09-27,107400000,USD
IncomeTaxExpenseBenefit,2020,2020-10-02,76900000,USD
IncomeTaxExpenseBenefit,2021,2021-10-01,100400000,USD
IncomeTaxExpenseBenefit,2022,2022-09-30,201400000,USD
IncomeTaxExpenseBenefit,2023,2023-09-29,96000000,USD
IncomeTaxExpenseBenefit,2024,2024-09-27,40400000,USD
IncomeTaxExpenseBenefit,2025,2025-10-03,49600000,USD
InterestExpense,2010,2010-10-01,4246000,USD
InterestExpense,2011,2011-09-30,1936000,USD
InterestExpense,2012,2012-09-28,667000,USD
InterestExpense,2013,2013-09-27,0,USD
InterestExpense,2021,2021-10-01,13400000,USD
InterestExpense,2022,2022-09-30,47900000,USD
InterestExpense,2023,2023-09-29,64400000,USD
InterestExpense,2024,2024-09-27,30700000,USD
InterestExpense,2025,2025-10-03,27100000,USD
Liabilities,2010,2010-10-01,247456000,USD
Liabilities,2011,2011-09-30,281294000,USD
Liabilities,2012,2012-09-28,231171000,USD
Liabilities,2013,2013-09-27,232000000,USD
Liabilities,2014,2014-10-03,441400000,USD
Liabilities,2015,2015-10-02,560200000,USD
Liabilities,2016,2016-09-30,314000000,USD
Liabilities,2017,2017-09-29,507900000,USD
Liabilities,2018,2018-09-28,731900000,USD
Liabilities,2019,2019-09-27,717300000,USD
Liabilities,2020,2020-10-02,942500000,USD
Liabilities,2021,2021-10-01,3293600000,USD
Liabilities,2022,2022-09-30,3404800000,USD
Liabilities,2023,2023-09-29,2344000000,USD
Liabilities,2024,2024-09-27,1946600000,USD
Liabilities,2025,2025-10-03,2159900000,USD
LiabilitiesCurrent,2010,2010-10-01,204324000,USD
LiabilitiesCurrent,2011,2011-09-30,247096000,USD
LiabilitiesCurrent,2012,2012-09-28,182704000,USD
LiabilitiesCurrent,2013,2013-09-27,179700000,USD
LiabilitiesCurrent,2014,2014-10-03,297600000,USD
LiabilitiesCurrent,2015,2015-10-02,463900000,USD
LiabilitiesCurrent,2016,2016-09-30,210200000,USD
LiabilitiesCurrent,2017,2017-09-29,387900000,USD
LiabilitiesCurrent,2018,2018-09-28,389700000,USD
LiabilitiesCurrent,2019,2019-09-27,374000000,USD
LiabilitiesCurrent,2020,2020-10-02,448400000,USD
LiabilitiesCurrent,2021,2021-10-01,658500000,USD
LiabilitiesCurrent,2022,2022-09-30,1226900000,USD
LiabilitiesCurrent,2023,2023-09-29,955700000,USD
LiabilitiesCurrent,2024,2024-09-27,602700000,USD
LiabilitiesCurrent,2025,2025-10-03,1323200000,USD
LongTermDebt,2021,2021-10-01,2235600000,USD
LongTermDebt,2022,2022-09-30,1689900000,USD
LongTermDebt,2023,2023-09-29,992900000,USD
LongTermDebt,2024,2024-09-27,994300000,USD
LongTermDebt,2025,2025-10-03,496400000,USD
NetCashProvidedByUsedInOperatingActivities,2010,2010-10-01,222962000,USD
